gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk,olid
3562,581080,NYG,MIN,KOFF,0,6,1,15,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3562,581081,NYG,MIN,PASS,1,32,1,14,54,0,0,3,3,1,10,16,1,0,0,0,0,1,0,0,0,0,0,0,1635
3562,581082,NYG,MIN,RUSH,2,45,1,14,22,0,0,3,3,2,10,16,1,0,0,0,0,1,0,0,0,0,0,0,1635
3562,581083,NYG,MIN,RUSH,3,40,1,13,37,0,0,3,3,3,5,21,2,1,1,0,0,1,0,0,0,0,0,0,1635
3562,581084,NYG,MIN,RUSH,4,43,1,12,57,0,0,3,3,1,10,27,2,0,0,0,0,1,0,0,0,0,0,0,1635
3562,581085,NYG,MIN,PASS,5,39,1,12,14,0,0,3,3,2,9,28,2,1,0,0,0,1,0,0,0,0,0,0,1635
3562,581086,NYG,MIN,RUSH,6,36,1,11,35,0,0,3,3,1,10,40,2,0,0,0,0,1,0,0,0,0,0,0,1635
3562,581087,NYG,MIN,PASS,7,37,1,10,59,0,0,3,3,2,12,38,2,1,1,0,0,1,0,0,0,0,0,0,1635
3562,581088,NYG,MIN,PASS,8,43,1,10,22,0,0,3,3,1,10,51,3,0,0,0,0,1,0,0,0,0,0,0,1635
3562,581089,NYG,MIN,RUSH,9,42,1,9,39,0,0,3,3,2,9,52,3,0,0,0,0,1,0,0,0,0,0,0,1635
3562,581090,NYG,MIN,PASS,10,38,1,8,57,0,0,3,3,3,3,58,3,1,1,0,0,1,0,0,0,0,0,0,1635
3562,581091,NYG,MIN,RUSH,11,38,1,8,19,0,0,3,3,1,10,67,4,0,0,0,0,1,0,0,0,0,0,0,1635
3562,581092,NYG,MIN,PASS,12,9,1,7,41,0,0,3,3,2,3,74,4,0,0,0,0,0,0,0,0,0,0,0,1635
3562,581093,NYG,MIN,PASS,13,36,1,7,32,0,0,3,3,3,3,74,4,1,1,0,0,1,0,0,0,0,0,0,1635
3562,581094,NYG,MIN,RUSH,14,36,1,6,56,0,0,3,3,1,10,77,4,0,1,0,0,1,0,0,0,0,0,0,1635
3562,581095,NYG,MIN,RUSH,15,45,1,6,20,0,0,3,3,2,8,79,4,0,0,0,0,1,0,0,0,0,0,0,1635
3562,581096,NYG,MIN,PASS,16,8,1,5,35,0,0,3,3,3,3,84,5,0,1,0,0,0,0,0,0,0,0,0,1635
3562,581097,NYG,MIN,FGXP,17,3,1,5,27,0,0,3,3,4,3,84,5,0,0,0,3,0,0,0,0,0,0,0,0
3562,581098,MIN,NYG,KOFF,0,6,1,5,24,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3562,581099,MIN,NYG,RUSH,1,35,1,5,24,0,3,3,3,1,10,20,1,0,0,0,0,1,0,0,0,0,0,0,1447
3562,581100,MIN,NYG,PASS,2,8,1,4,53,0,3,3,3,2,7,23,2,0,0,0,0,0,0,0,0,0,0,0,1447
3562,581101,MIN,NYG,PASS,3,32,1,4,45,0,3,3,3,3,7,23,2,1,1,0,0,1,0,0,0,0,0,0,1447
3562,581102,MIN,NYG,PASS,4,9,1,4,13,0,3,3,3,1,10,32,2,0,0,0,0,0,0,0,0,0,0,0,1447
3562,581103,MIN,NYG,RUSH,5,43,1,4,4,0,3,3,3,2,10,32,2,0,0,0,0,1,0,0,0,0,0,0,1447
3562,581104,MIN,NYG,PASS,6,8,1,3,21,0,3,3,3,3,13,29,2,0,0,0,0,0,0,0,0,0,0,0,1447
