gid,seas,wk,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,ptsv,ptsh
3189,2012,1,WED,DAL,NYG,MetLife Stadium,77,63,5,WNW,Fair,FieldTurf,44.5,4,24,17
3190,2012,1,SUN,IND,CHI,Soldier Field,67,66,13,N,Partly Cloudy,Grass,43.5,10,21,41
3191,2012,1,SUN,PHI,CLE,Cleveland Browns Stadium,68,57,9,NNW,Sunny,Grass,43,-9.5,17,16
3192,2012,1,SUN,ATL,KC,Arrowhead Stadium,69,47,7,NE,Sunny,Grass,43.5,-2.5,40,24
3193,2012,1,SUN,BUF,NYJ,Metlife Stadium,74,48,1,W,Sunny,FieldTurf,38.5,3,28,48
3194,2012,1,SUN,STL,DET,Ford Field,,,,,Dome,FieldTurf,45.5,8.5,23,27
3195,2012,1,SUN,WAS,NO,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,49.5,7.5,40,32
3196,2012,1,SUN,MIA,HOU,Reliant Stadium,,,,,Closed Roof,Grass,42.5,13,10,30
3197,2012,1,SUN,NE,TEN,LP Field,,,,,Sunny,Grass,47,-4.5,34,13
3198,2012,1,SUN,JAC,MIN,Mall of America Field at HHH Metrodome,,,,,Dome,AstroTurf,38,3.5,23,26
3199,2012,1,SUN,CAR,TB,Raymond James Stadium,83,79,15,SW,Cloudy,Grass,47,-2.5,10,16
3200,2012,1,SUN,SEA,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,40.5,-3,16,20
3201,2012,1,SUN,SF,GB,Lambeau Field,72,40,11,NW,Partly Cloudy,DD GrassMaster,46.5,5,30,22
3202,2012,1,SN,PIT,DEN,Sports Authority Field at Mile High,85,12,10,NE,Sunny,Grass,46,2,19,31
3203,2012,1,MN,CIN,BAL,M&T Bank Stadium,74,37,10,NW,Clear,MomentumTurf,41,7,13,44
3204,2012,1,MN,SD,OAK,Oakland-Alameda County Coliseum,67,59,11,WNW,Sunny,Grass,46.5,1,22,14
